id,name,quoteLatin,quoteEn,quoteJp,context
1,Marcus Aurelius,Quod obstat viae fit via.,The impediment to action advances action – what stands in the way becomes the way.,行動を阻むものは行動を促進する。道を妨げるものが道そのものになる。,『自省録』で自身に言い聞かせた箴言。障害を活用して前進せよという教え。
2,Marcus Aurelius,,"If it is not right, do not do it; if it is not true, do not say it.",それが正しくないのなら行うな。真実でないのなら口にするな。,ストア派の倫理観を示し、言行一致を促す忠告。
3,Marcus Aurelius,,Waste no more time arguing about what a good man should be. Be one.,「善い人間とは何か」を議論して時間を無駄にするな。ただ善い人間であれ。,理屈より実践を重視し、率先垂範のリーダーシップを説いた一節。
4,Marcus Aurelius,,The happiness of your life depends upon the quality of your thoughts.,あなたの人生の幸福は、あなたの思考の質にかかっている。,思考次第で幸福が決まるという内面重視の指針。
5,Marcus Aurelius,,"You have power over your mind – not outside events. Realize this, and you will find strength.",自分の心を支配する力はあるが、外の出来事を支配する力はない。それに気づけば、そこにこそ強さがある。,外的要因ではなく内的反応を制御することが真の強さという教え。
6,Marcus Aurelius,,"It is not death that a man should fear, but he should fear never beginning to live.",人が恐れるべきは死ではなく、生き始めないことである。,挑戦しないまま時間を浪費することへの戒め。
7,Marcus Aurelius,,Perform every act in life as though it were your last.,人生のあらゆる行為を、それが最後であるかのように遂行せよ。,時間管理と集中力を高めるための自己規律。
8,Marcus Aurelius,,The best revenge is to be unlike him who performed the injustice.,最上の復讐は、不正を行った者と自分が似た存在にならないことである。,徳を保ち、悪に染まらないことを説くリーダーの心得。
9,Marcus Aurelius,,Think of yourself as dead. You have lived your life. Now take what's left and live it properly.,自分自身をすでに死んだ者だと考えよ。残された時間を正しく生きよ。,死を意識し今を最大限に生きるマインドセットを促す。
10,Marcus Aurelius,,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking.",幸福な人生に必要なものはごくわずかだ。それはすべて自分の中、自分の考え方にある。,質素で内面を重んじるストア的幸福観。
11,Marcus Aurelius,,The universe is change; our life is what our thoughts make it.,宇宙は変化そのものだ。我々の人生は思考がそれを形作る。,変化を受け入れ、思考を磨く重要性を説く。
12,Marcus Aurelius,,"If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it – and this you have the power to revoke at any moment.",外部のことで心が乱されても、その苦しみは事物そのものではなく自分の判断にある。その判断はいつでも撤回できる。,認知を修正して苦悩を克服するストア派の処方箋。
13,Marcus Aurelius,"Tempus est flumen, omnium creaturarum immoderata fluens.","Time is a river, the resistless flow of all created things.",時間とは河であり、あらゆる創造物を押し流す抗し難い流れだ。,時間の不可逆性を示し、今を大切に生きることを促す比喩。
14,Augustus,Festina lente.,Make haste slowly.,急がば回れ。,アウグストゥスの座右の銘。迅速さと慎重さのバランスを説く。
15,Augustus,"Sat celeriter fieri, quidquid fiat satis bene.",Whatever is done well enough is done quickly enough.,十分にうまく行われていることは、それだけで十分に速く行われている。,品質を優先し、拙速を戒める指導理念。
16,Augustus,,"Young men, hear an old man to whom old men hearkened when he was young.",若者たちよ、彼が若かった頃に老人たちが耳を傾けたこの老翁の言葉に耳を傾けなさい。,経験に裏打ちされた助言の価値を説く言葉。
17,Augustus,,Have I played my part well? Then applaud as I exit.,私は自分の役割をうまく演じられただろうか？それならば、退場する私に喝采を送ってくれたまえ。,死の間際、人生を舞台にたとえて発した達成感あふれる言葉。
18,Augustus,"Aetati tuae, mi Tiberi, noli in hac re indulgere...","My dear Tiberius, don’t let your youth make you so angry if anyone speaks ill of me; it’s enough if we ensure that no one can actually harm us.",愛するティベリウスよ、誰かが私を悪く言っても憤慨してはならない。我々に危害を加えさせないことが重要だ。,批判への冷静な対処を説いた後継者への助言。
19,Trajan,,"Were I still young, I would have crossed over to the Indians, too.",もし自分がまだ若かったなら、私もインドにまで渡っていただろうに。,晩年にも旺盛な行動意欲を示した遠征談。
20,Trajan,Sine auctore vero propositi libelli in nullo crimine locum habere debent; nam et pessimi exempli nec nostri saeculi est.,"Anonymous accusations ought not to be admitted in any prosecution, for this is a dangerous precedent and not at all in the spirit of our age.",差出人不明の告発状は取り合うべきではない。それは極めて悪い前例であり、我々の時代精神にもそぐわない。,匿名告発を排し、公正な法秩序を守る司法方針を示す。
21,Hadrian,"Animula, vagula, blandula, hospes comesque corporis, quae nunc abibis in loca pallidula, rigida, nudula, nec, ut soles, dabis iocos.","Little soul, gentle and wandering, companion and guest of my body, where are you now going – pale, stiff, and naked, unable to play as you once did?",さまよえる可愛らしい魂よ、我が身体の客人にして同伴者よ、お前は今どこへ行ってしまうのか――青ざめ、硬直し、裸のままで、もはや冗談も言えぬままに。,ハドリアヌスが臨終間際に詠んだ自作詩で無常観を表現。
22,Antoninus Pius,Aequanimitas,Equanimity,心の平静。,臨終の合言葉と伝わる一語で公平沈着な統治姿勢を象徴。
23,Diocletian,"Utinam Salonae possetis visere olera nostris manibus instituta, profecto numquam istud temptandum iudicaretis.","If you could see the cabbages I planted with my own hands at Salona, you would never dare suggest such a temptation.",もし君たちがサロナで私自身の手で植えたキャベツを見たなら、再び帝位に就けなどとは言えなくなるだろう。,退位後、園芸の喜びを語り再即位を拒んだ逸話。
24,Julian,,"Whither are we fleeing, my most valiant men? Do you not know that flight never leads to safety, but merely shows the folly of a futile effort? Let us return to our comrades, and share in their glory!",「我が精鋭たちよ、一体どこへ逃げるというのか？逃走では安全など得られはしない――無益な努力の愚かさを晒すだけだということがわからないのか？さあ、仲間のもとへ戻り、彼らの栄光を共に分かち合おうではないか！」,戦場で兵士を鼓舞し退却を止めたリーダーシップの逸話。
25,Julian,,"Can anyone be proved innocent, if it be enough to have accused him?",人を訴えるだけで有罪にできるのだとしたら、誰も潔白だと証明できはしない。,推定無罪の精神を先取りし、司法の公正を訴えた言葉。
26,Julian,,Never yield yourself as a slave to your own desires or to the whims of others.,自分自身の欲望の奴隷となるな。また他人の欲するままに動いてもいけない。,自制と独立心を強調するストア的自己規律の教え。
27,Julian,,"Do not prefer the flatterer to the friend. Treat your friends frankly and generously, not as servants – never saying one thing while thinking another.",追従者を友人よりも重んじてはならない。友人は下僕のように扱わず、率直に寛大に接し、心にもないことを口にしないことだ。,誠実な人間関係とリーダーシップの在り方を説く。
28,Julian,,"Who ever found salvation in Alexander’s conquests? Many were enriched by them, but none became wiser or more temperate. Whereas all who find salvation in philosophy owe it to Socrates.",アレクサンドロス大王の征服で救われた者がかつていただろうか。多くの者が富を得たが、賢明さや節度を得た者はいない。哲学によって救われる者は皆ソクラテスにその恩恵を負っている。,武力より知恵を重んじる哲学者皇帝の価値観を表す。
29,Julian,,"If one were to rob human beings of the power to do and say as they please, that would be to take away the first principle of independence.",もし人間から望む言動を為す力を奪えば、それは独立の根本原則を取り去ることになる。,市民の自由を尊重すべきだとする自由思想的見解。
30,Julian,,"Some people are fond of horses, others of wild animals; as for me, I have been possessed since childhood by an overwhelming desire to buy and own books.",馬や猛獣を好む者もいるが、私の場合は幼少の頃から本を買い集めたいという圧倒的な欲求に取り憑かれている。,旺盛な読書愛と知的好奇心を示す自己啓発エピソード。
