id,name,quoteLatin,quoteEn,quoteJp,img
1,Marcus Aurelius,Quod obstat viae fit via.,The impediment to action advances action – what stands in the way becomes the way.,行動を阻むものは行動を促進する。道を妨げるものが道そのものになる。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
2,Marcus Aurelius,,"If it is not right, do not do it; if it is not true, do not say it.",それが正しくないのなら行うな。真実でないのなら口にするな。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
3,Marcus Aurelius,,Waste no more time arguing about what a good man should be. Be one.,「善い人間とは何か」を議論して時間を無駄にするな。ただ善い人間であれ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
4,Marcus Aurelius,,The happiness of your life depends upon the quality of your thoughts.,あなたの人生の幸福は、あなたの思考の質にかかっている。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
5,Marcus Aurelius,,"You have power over your mind – not outside events. Realize this, and you will find strength.",自分の心を支配する力はあるが、外の出来事を支配する力はない。それに気づけば、そこにこそ強さがある。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
6,Marcus Aurelius,,"It is not death that a man should fear, but he should fear never beginning to live.",人が恐れるべきは死ではなく、生き始めないことである。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
7,Marcus Aurelius,,Perform every act in life as though it were your last.,人生のあらゆる行為を、それが最後であるかのように遂行せよ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
8,Marcus Aurelius,,The best revenge is to be unlike him who performed the injustice.,最上の復讐は、不正を行った者と自分が似た存在にならないことである。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
9,Marcus Aurelius,,Think of yourself as dead. You have lived your life. Now take what's left and live it properly.,自分自身をすでに死んだ者だと考えよ。残された時間を正しく生きよ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
10,Marcus Aurelius,,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking.",幸福な人生に必要なものはごくわずかだ。それはすべて自分の中、自分の考え方にある。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
11,Marcus Aurelius,,The universe is change; our life is what our thoughts make it.,宇宙は変化そのものだ。我々の人生は思考がそれを形作る。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
12,Marcus Aurelius,,"If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it – and this you have the power to revoke at any moment.",外部のことで心が乱されても、その苦しみは事物そのものではなく自分の判断にある。その判断はいつでも撤回できる。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
13,Marcus Aurelius,"Tempus est flumen, omnium creaturarum immoderata fluens.","Time is a river, the resistless flow of all created things.",時間とは河であり、あらゆる創造物を押し流す抗し難い流れだ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
14,Marcus Aurelius,"Confine yourself to the present.",Focus on the present moment.,今この瞬間に集中せよ,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
15,Marcus Aurelius,"What we do now echoes in eternity.",What we do now echoes in eternity.,今我々が行うことは永遠に響き渡る,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
16,Marcus Aurelius,"Difficilis in otio quies.","True rest is found in purposeful action.",真の休息は目的ある行動の中にある,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
17,Augustus,Festina lente.,Make haste slowly.,急がば回れ。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
18,Augustus,"Sat celeriter fieri, quidquid fiat satis bene.",Whatever is done well enough is done quickly enough.,十分にうまく行われていることは、それだけで十分に速く行われている。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
19,Augustus,,"Young men, hear an old man to whom old men hearkened when he was young.",若者たちよ、彼が若かった頃に老人たちが耳を傾けたこの老翁の言葉に耳を傾けなさい。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
20,Augustus,,Have I played my part well? Then applaud as I exit.,私は自分の役割をうまく演じられただろうか？それならば、退場する私に喝采を送ってくれたまえ。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
21,Augustus,"Aetati tuae, mi Tiberi, noli in hac re indulgere...","My dear Tiberius, don't let your youth make you so angry if anyone speaks ill of me; it's enough if we ensure that no one can actually harm us.",愛するティベリウスよ、誰かが私を悪く言っても憤慨してはならない。我々に危害を加えさせないことが重要だ。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
22,Augustus,"Acta est fabula.","The play is over. Time for applause.",劇は終わった。さあ拍手を,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
23,Trajan,,"Were I still young, I would have crossed over to the Indians, too.",もし自分がまだ若かったなら、私もインドにまで渡っていただろうに。,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Traianus_Glyptothek_Munich_336.jpg/480px-Traianus_Glyptothek_Munich_336.jpg
24,Trajan,Sine auctore vero propositi libelli in nullo crimine locum habere debent; nam et pessimi exempli nec nostri saeculi est.,"Anonymous accusations ought not to be admitted in any prosecution, for this is a dangerous precedent and not at all in the spirit of our age.",差出人不明の告発状は取り合うべきではない。それは極めて悪い前例であり、我々の時代精神にもそぐわない。,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Traianus_Glyptothek_Munich_336.jpg/480px-Traianus_Glyptothek_Munich_336.jpg
25,Trajan,"Optimus princeps.","The best leader serves.",最良の指導者は奉仕する者である,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Traianus_Glyptothek_Munich_336.jpg/480px-Traianus_Glyptothek_Munich_336.jpg
26,Hadrian,"Animula, vagula, blandula, hospes comesque corporis, quae nunc abibis in loca pallidula, rigida, nudula, nec, ut soles, dabis iocos.","Little soul, gentle and wandering, companion and guest of my body, where are you now going – pale, stiff, and naked, unable to play as you once did?",さまよえる可愛らしい魂よ、我が身体の客人にして同伴者よ、お前は今どこへ行ってしまうのか――青ざめ、硬直し、裸のままで、もはや冗談も言えぬままに。,https://upload.wikimedia.org/wikipedia/commons/4/4b/Bust_Hadrian_MET_DP166884.jpg
27,Hadrian,"Animula vagula blandula...","Little soul, wandering and charming...",さすらいの小さな魂よ、前進せよ,https://upload.wikimedia.org/wikipedia/commons/4/4b/Bust_Hadrian_MET_DP166884.jpg
28,Antoninus Pius,Aequanimitas,Equanimity,心の平静。,https://upload.wikimedia.org/wikipedia/commons/2/28/Antoninus_Pius_bust_Glyptothek_Munich_337.jpg
29,Antoninus Pius,"Aequanimitas.","Maintain equanimity in all things.",すべてにおいて平静を保て,https://upload.wikimedia.org/wikipedia/commons/2/28/Antoninus_Pius_bust_Glyptothek_Munich_337.jpg
30,Diocletian,"Utinam Salonae possetis visere olera nostris manibus instituta, profecto numquam istud temptandum iudicaretis.","If you could see the cabbages I planted with my own hands at Salona, you would never dare suggest such a temptation.",もし君たちがサロナで私自身の手で植えたキャベツを見たなら、再び帝位に就けなどとは言えなくなるだろう。,https://upload.wikimedia.org/wikipedia/commons/9/93/Istanbul_-_Museo_archeologico_-_Diocleziano_%28284-305_d.C.%29_-_Foto_G._Dall%27Orto_28-5-2006.jpg
31,Julian,,"Whither are we fleeing, my most valiant men? Do you not know that flight never leads to safety, but merely shows the folly of a futile effort? Let us return to our comrades, and share in their glory!",「我が精鋭たちよ、一体どこへ逃げるというのか？逃走では安全など得られはしない――無益な努力の愚かさを晒すだけだということがわからないのか？さあ、仲間のもとへ戻り、彼らの栄光を共に分かち合おうではないか！」,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg
32,Julian,,"Can anyone be proved innocent, if it be enough to have accused him?",人を訴えるだけで有罪にできるのだとしたら、誰も潔白だと証明できはしない。,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg
33,Julian,,Never yield yourself as a slave to your own desires or to the whims of others.,自分自身の欲望の奴隷となるな。また他人の欲するままに動いてもいけない。,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg
34,Julian,,"Do not prefer the flatterer to the friend. Treat your friends frankly and generously, not as servants – never saying one thing while thinking another.",追従者を友人よりも重んじてはならない。友人は下僕のように扱わず、率直に寛大に接し、心にもないことを口にしないことだ。,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg
35,Julian,,"Who ever found salvation in Alexander's conquests? Many were enriched by them, but none became wiser or more temperate. Whereas all who find salvation in philosophy owe it to Socrates.",アレクサンドロス大王の征服で救われた者がかつていただろうか。多くの者が富を得たが、賢明さや節度を得た者はいない。哲学によって救われる者は皆ソクラテスにその恩恵を負っている。,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg
36,Julian,,"If one were to rob human beings of the power to do and say as they please, that would be to take away the first principle of independence.",もし人間から望む言動を為す力を奪えば、それは独立の根本原則を取り去ることになる。,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg
37,Julian,,"Some people are fond of horses, others of wild animals; as for me, I have been possessed since childhood by an overwhelming desire to buy and own books.",馬や猛獣を好む者もいるが、私の場合は幼少の頃から本を買い集めたいという圧倒的な欲求に取り憑かれている。,https://upload.wikimedia.org/wikipedia/commons/8/8e/JulianusII-antioch%28360-363%29-CNG.jpg